k,seed,split,auroc,f1,accuracy,precision,recall,loss
10,11,ood,0.515363,0.630917,0.544367,0.530202,0.778867,0.725325
10,12,test,0.649263,0.606403,0.596914,0.579137,0.636364,0.660079
10,12,ood,0.387805,0.615205,0.483400,0.490149,0.825933,0.772877
10,13,test,0.655360,0.640288,0.614272,0.587459,0.703557,0.675793
10,13,ood,0.837581,0.777499,0.772567,0.760996,0.794733,0.511349
10,14,test,0.624726,0.635607,0.577628,0.548851,0.754941,0.676392
10,14,ood,0.532001,0.612903,0.483200,0.489941,0.818267,0.768995
10,15,test,0.645236,0.615385,0.599807,0.579407,0.656126,0.661251
10,15,ood,0.498306,0.630931,0.506100,0.503639,0.844333,0.744478
10,16,test,0.637302,0.604263,0.588235,0.568935,0.644269,0.666618
10,16,ood,0.641024,0.615810,0.477067,0.486684,0.838200,0.678819
10,17,test,0.657221,0.613462,0.612343,0.597378,0.630435,0.672959
10,17,ood,0.801734,0.615999,0.653567,0.690924,0.555733,0.590881
